T,TM,Tm,SLP,H,VV,V,VM,PM2.5,timestamp
13.2,18.2,9.2,1021.0,92,0.8,7.6,11.1,255.875,2014-01-01
11.1,18.3,5.0,1020.2,80,1.1,8.0,14.8,217.08333333333331,2014-01-02
12.7,19.8,5.2,1017.9,78,1.3,5.4,14.8,229.16666666666663,2014-01-03
11.9,20.7,4.4,1017.9,78,0.8,1.9,7.6,264.9166666666667,2014-01-04
11.7,20.7,6.5,1017.3,89,0.3,0.9,7.6,404.5,2014-01-05
13.9,21.6,7.0,1019.6,74,0.8,1.1,9.4,188.5,2014-01-06
14.9,22.1,8.9,1017.2,78,1.0,2.8,7.6,164.75,2014-01-07
12.0,22.1,9.6,1019.7,95,0.3,0.4,3.5,376.9166666666667,2014-01-08
14.5,21.0,8.6,1023.2,88,1.3,3.5,7.6,0.0,2014-01-09
14.6,22.3,9.0,1021.2,86,1.0,4.4,9.4,0.0,2014-01-10
13.4,22.3,11.5,1020.6,98,1.4,6.9,13.0,57.0,2014-01-11
11.7,18.2,9.4,1019.9,96,0.5,8.3,11.1,202.91666666666663,2014-01-12
14.3,20.3,9.9,1019.1,88,0.6,8.9,14.8,205.125,2014-01-13
16.6,24.0,10.1,1018.8,75,1.3,10.0,14.8,214.125,2014-01-14
14.8,21.1,10.0,1019.3,86,0.5,3.0,11.1,315.7916666666667,2014-01-15
13.9,21.1,10.8,1019.8,83,0.8,2.6,7.6,322.25,2014-01-16
15.3,24.4,6.8,1016.9,79,0.6,1.9,7.6,246.04166666666663,2014-01-17
18.6,27.8,8.9,1014.4,65,1.3,5.6,57.6,200.91666666666663,2014-01-18
19.7,26.4,15.1,1009.3,72,1.6,15.0,29.4,99.5,2014-01-19
13.8,26.4,9.6,1011.3,88,1.0,8.1,14.8,143.91666666666666,2014-01-20
12.7,19.5,7.0,1012.0,66,1.4,9.3,25.9,100.25,2014-01-21
15.3,22.6,5.6,1013.6,67,1.6,4.8,11.1,165.0,2014-01-22
13.1,22.6,11.0,1011.8,97,1.1,5.4,11.1,116.45833333333331,2014-01-23
12.6,17.7,9.2,1012.6,91,0.6,3.9,7.6,143.0,2014-01-24
15.1,23.3,7.1,1016.7,77,0.8,1.9,7.6,231.125,2014-01-25
16.1,24.5,8.2,1014.8,80,0.6,1.9,9.4,218.66666666666663,2014-01-26
17.2,24.6,9.0,1014.2,75,1.4,8.9,14.8,211.0,2014-01-27
17.9,25.2,10.3,1017.4,70,1.1,0.9,7.6,52.208333333333336,2014-01-28
18.9,26.2,12.5,1014.4,72,1.3,2.4,9.4,187.5,2014-01-29
18.6,25.3,13.0,1013.3,80,1.1,7.2,22.2,130.16666666666666,2014-01-30
16.3,21.3,12.0,1015.1,90,1.1,4.3,13.0,123.125,2014-01-31
16.1,21.8,10.0,1017.1,82,1.3,5.7,11.1,120.91666666666669,2014-02-01
17.8,25.7,10.5,1016.3,67,2.1,3.7,11.1,153.625,2014-02-02
18.4,25.9,11.0,1017.0,65,2.3,6.7,14.8,130.33333333333334,2014-02-03
19.8,27.1,12.8,1017.2,66,2.6,9.8,24.1,110.70833333333331,2014-02-04
22.3,29.0,14.0,1014.6,61,2.3,5.0,13.0,138.5,2014-02-05
18.9,27.1,12.8,1016.1,65,2.6,9.8,18.3,75.75,2014-02-06
19.7,27.6,12.0,1015.2,66,1.9,5.7,13.0,146.54166666666666,2014-02-07
21.4,29.7,12.6,1016.4,65,1.4,2.8,9.4,116.625,2014-02-08
21.7,28.4,16.2,1013.1,61,2.3,10.2,22.2,80.04166666666667,2014-02-09
21.5,29.2,15.0,1010.8,59,2.6,7.4,18.3,100.04166666666669,2014-02-10
22.4,32.5,14.5,1007.2,68,2.1,5.4,11.1,109.45833333333331,2014-02-11
24.6,32.7,16.5,1010.6,64,1.8,2.8,11.1,110.16666666666669,2014-02-12
25.2,32.7,19.1,1010.7,64,1.9,2.8,11.1,108.20833333333331,2014-02-13
23.4,29.1,19.6,1011.7,69,1.9,4.8,9.4,103.83333333333331,2014-02-14
24.2,30.8,17.0,1008.2,48,1.9,13.1,22.2,74.29166666666667,2014-02-15
24.9,33.2,16.8,1006.2,49,2.6,9.6,25.9,101.79166666666669,2014-02-16
26.8,35.2,17.7,1005.7,50,1.9,7.2,14.8,106.16666666666669,2014-02-17
25.1,35.2,18.0,1010.4,53,2.1,10.4,25.9,89.875,2014-02-18
27.2,38.0,21.0,1009.7,55,1.9,13.0,18.3,48.208333333333336,2014-02-19
25.8,32.2,19.5,1010.3,49,2.6,12.6,18.3,47.04166666666666,2014-02-20
25.7,32.8,17.5,1010.3,41,2.6,12.8,25.9,67.79166666666667,2014-02-21
27.0,37.2,22.6,1009.8,49,1.9,15.6,27.8,56.66666666666666,2014-02-22
27.7,34.5,21.5,1010.6,55,1.9,5.2,13.0,79.0,2014-02-23
29.1,36.5,20.5,1009.2,53,1.8,2.6,11.1,123.58333333333331,2014-02-24
25.6,32.3,20.0,1011.4,64,1.9,5.0,14.8,80.29166666666667,2014-02-25
26.8,33.6,19.2,1010.5,53,1.6,4.6,11.1,137.875,2014-02-26
28.1,35.8,18.6,1010.0,40,1.9,8.7,16.5,87.875,2014-02-27
30.5,38.8,20.6,1006.0,41,2.4,8.1,22.2,121.20833333333331,2014-02-28
31.5,38.8,22.1,1006.2,39,2.4,8.1,16.5,97.04166666666669,2014-03-01
30.6,38.7,21.5,1007.0,36,1.9,8.3,18.3,92.08333333333331,2014-03-02
34.8,42.8,24.2,1001.7,30,2.3,9.6,18.3,130.625,2014-03-03
34.5,41.7,26.2,1001.8,33,1.9,6.5,11.1,90.5,2014-03-04
31.8,41.7,26.2,1003.7,43,1.9,7.4,18.3,55.41666666666666,2014-03-05
31.8,38.6,24.2,1004.3,54,1.9,1.9,7.6,108.33333333333331,2014-03-06
32.2,39.5,25.2,1002.1,45,1.6,9.3,16.5,198.875,2014-03-07
30.7,39.5,21.4,1000.5,43,1.6,6.5,14.8,120.70833333333331,2014-03-08
25.2,30.6,18.0,1008.2,71,2.6,10.0,20.6,60.54166666666666,2014-03-09
26.9,32.1,19.0,1006.6,62,1.8,8.5,18.3,79.0,2014-03-10
29.7,35.4,23.0,1004.1,48,1.8,11.1,16.5,133.70833333333334,2014-03-11
32.3,39.1,24.0,1006.6,36,2.3,11.7,24.1,53.25,2014-03-12
31.9,38.8,26.5,1006.0,39,2.3,8.7,22.2,65.16666666666667,2014-03-13
32.8,38.6,24.8,1002.3,40,1.9,9.6,18.3,83.58333333333333,2014-03-14
32.4,40.6,23.2,1005.2,45,2.7,8.9,14.8,40.66666666666666,2014-03-15
30.0,36.4,21.4,1007.2,60,2.6,4.1,14.8,48.125,2014-03-16
31.8,38.8,24.0,1004.8,54,1.9,2.6,7.6,103.16666666666669,2014-03-17
34.6,42.8,25.0,999.6,46,1.8,6.3,18.3,143.375,2014-03-18
32.9,41.6,25.6,1003.0,44,2.9,17.4,55.4,44.79166666666666,2014-03-19
32.8,39.9,25.0,1003.3,48,2.6,4.6,14.8,71.95833333333333,2014-03-20
34.8,41.7,26.5,1000.0,40,2.6,6.5,14.8,17.5,2014-03-21
38.5,44.9,30.8,994.0,31,1.9,13.1,29.4,101.0,2014-03-22
37.8,45.1,28.6,993.3,34,1.9,6.7,18.3,76.20833333333333,2014-03-23
37.9,45.5,30.1,993.1,38,1.9,5.9,16.5,84.33333333333333,2014-03-24
30.3,41.1,22.7,997.7,62,2.6,16.7,29.4,48.833333333333336,2014-03-25
